Atomic Radius(Atomic unit),Expansion Coefficient,Electron Affinity(-ive),Conductivity,Yield Strength,Outcome
1.48,0,70,1.59,7.706666667,2
1.48,0,68,1.35,7.06401766,3

1.48,0,58,4.75,37.54966887,1
1.48,0,63,3.52,18.69757174,2
1.48,0,60,2.4,28.02597403,2
1.48,0,61,3.15,26.16883117,2
1.25,0.002,19,12.92,54.67669173,1
1.25,0.002,25,19.72,186,1
1.25,0.002,24,23.36,47.15277778,1
1.25,0.002,24,27.68,64.42105263,1

1.25,0,22,30.02,58.69473684,1
1.25,0.003,22,48.16,193.4222222,1
1.25,0,22,51.09,213.64817,1
1.25,0.006,22,25.41,89.82421875,1
1.25,0.006,20,17.75,141.253937,1
1.25,0,25,28.95,68.34645669,1
1.25,0.002,23,9.68,156.121875,1
1.29,0.001,34,21.93,47.02773723,1
1.29,0.005,35,13.13,57.35802469,1
1.29,0.006,38,15,33.54850746,1
1.29,0.009,22,0,376.118068,1
1.29,0.007,22,0,501.0714286,1
1.23,0.007,26,83.42,952.8761062,3
1.23,0.004,30,6.38,93.24074074,1
1.23,0.004,29,4.29,96.94623656,1
1.23,0.005,24,2.73,109.9093333,1
1.23,0.005,47,8.14,69.02137233,1
1.23,0.005,50,2.48,71.93877551,1
1.23,0.005,45,3.8,75.225,1
1.23,0.006,33,6.11,294.5931759,1
1.23,0.007,28,6.3,217.8318841,2

1.58,0,54,4.8,43.4,1

1.58,0,56,5.16,129.5853659,1

1.59,0.008,61,3.44,17.62650602,1
1.59,0.01,58,3.95,26.43975904,1

1.59,0.01,58,3.9,26.6,1

1.59,0.009,58,4,158.5862069,2
1.59,0.006,57,4.05,60.89285714,1
1.54,0.002,44,52.6,127.037037,1
1.54,0.002,48,11.43,115.5368098,2
1.54,0.003,44,71.4,140.4458599,1
1.43,0.003,50,20.28,51.26148649,1
1.43,0.002,50,3.96,71.71006711,1
1.43,0.001,51,19.8,30.6122449,1
1.49,0.003,51,18.8,91.28571429,1
1.49,0,51,9.54,70.5,1
1.48,0.006,54,6.3,22.18923933,1
1.48,0.003,57,4.8,14.43137255,1
1.48,0.004,55,6.24,13.83006536,1
1.4,0.004,41,14.11,105.547619,1
1.25,0.006,31,14.69,244.6969697,1
1.25,0.008,34,16.06,75.703125,1
1.23,0.005,38,7.92,86.07421875,1
1.23,0.006,39,7.12,24.91338583,1
1.23,0.006,38,7.2,43.875,1
1.23,0.006,34,2.97,112.375,1
1.23,0.006,33,3.06,59.8125,1
1.23,0.006,36,3.33,123.1496063,1
1.23,0.007,35,2.88,120.5669291,1
1.22,0.006,32,10.68,193.8214286,1
1.22,0.006,32,9.24,107.0436508,1
1.22,0.004,31,9.84,38.9047619,1
1.34,0.001,56,133.76,1313.093525,1
1.34,0.001,53,187.59,1313.093525,1
1.34,0.002,67,38.7,217.5766423,1
1.34,0.001,67,19.08,71.8053528,1
1.16,0.003,46,3.85,16.40983607,1
1.16,0.004,43,4.48,22.21487603,1
1.16,0.005,48,3.3,11.21311475,1
1.19,0.004,29,13.78,92.85907859,1
1.19,0.003,30,15.08,74.28726287,1
1.19,0.004,31,14.69,27.85772358,1
1.19,0.005,31,14.98,69.93925759,1
1.19,0.003,34,15.4,41.6875,1
1.19,0.005,30,18,153.8444444,1
1.19,0.008,26,21.15,118.272,1
1.21,0.003,33,12.35,101.1811688,1
1.2,0.007,27,28.6,88.80378788,1
1.38,0.005,35,23.85,317.2264257,1
1.31,0,37,6.08,227.8571429,1
1.32,0.006,38,27.56,186.5142857,1
1.32,0.003,31,25.92,719.0674847,1
1.32,0.008,36,52.02,630.858209,1
1.32,0.005,49,46.6,73.57333333,1
1.38,0.004,43,12.43,40.16037736,2
1.38,0.006,43,11.6,44.62264151,2
1.38,0.004,32,11.7,207.2903226,1
1.38,0.004,45,12.3,56.73820755,2
1.44,0.004,44,9.52,41.765625,2
1.44,0.003,49,6.86,63.3744856,2
1.44,0.005,46,9.2,53.14285714,2
1.5,0.006,56,3.95,35.59493671,2
1.5,0.007,54,3.85,22.47133758,1
1.5,0.005,57,3.85,49.3081761,2

1.45,0.002,49,4.2,119.3037975,1
1.2,0,53,8.54,23.37127371,1
1.2,0,51,11.84,20.86451613,1
1.2,0,56,4.25,25.32786885,1

1.2,0,51,5.18,18.6097561,1

1.2,0,55,13.59,43.21935484,1
1.2,0,53,12.24,69,1
1.24,0.002,46,6,26.79389313,1

1.25,0.001,48,3.92,17.26315789,1
1.25,0,51,2.94,14.92537313,1
1.25,0.002,50,2.25,31.60714286,1
1.25,0,47,4.88,38.34586466,1
1.27,0.001,61,5.3,48.73106061,1
1.27,0.002,58,4.15,73.67156863,1
1.27,0,63,5.65,21.22307692,2
1.27,0,61,6.9,31.59160305,2
1.27,0.001,54,15.6,63.15217391,1
1.27,0,53,14.32,97.88235294,1
1.29,0,52,8.05,16.23880597,1
1.29,0,55,3.75,13.73134328,1
1.29,0,47,15.57,33.6318408,1
1.29,0,44,4.8,64.96240602,1
1.29,0,53,3.18,20.48395062,1
1.29,0,56,3.7,13.73134328,1
1.27,0,48,15.4,160.4776119,1
1.27,0,48,16.39,240.7164179,1
1.27,0,47,13.86,160.969697,1
1.23,0,52,12.32,24.72527473,1
1.23,0,55,6.23,44.23846154,1
1.23,0,50,11.04,54.20930233,1
1.23,0,55,6.02,44.23846154,1
1.23,0,49,11.04,54.20930233,1
1.23,0,49,11.04,54.20930233,1
1.21,0,56,6.3,49.34366925,1


1.25,0.001,67,1.47,12.77777778,2

1.25,0.001,70,2.84,20.2176,2
1.25,0.002,66,2.68,39.31147541,2
1.23,0.001,67,7.56,18.85714286,2
1.23,0,70,4.15,20.06031746,2
1.28,0.004,43,35.53,91.65217391,1
1.28,0.008,48,11.7,99.71223022,1
1.51,0.002,56,1.9,54.34375,1
1.51,0.003,50,0.63,80.01533742,1
1.51,0,64,1.84,24.09493671,2
1.48,0.003,61,3.7,35.2012987,2
1.3,0.006,67,7.15,17.62237762,2
1.3,0.003,57,8.58,69.88721805,1
1.3,0,53,3,35.50819672,1
1.3,0.002,51,5.46,81.42857143,1
1.27,0.007,14,20.79,367.4692308,1
1.27,0.008,12,19.38,306.8604651,1
1.27,0.005,16,0,700.7118881,1
1.27,0.008,13,4.94,195.4122137,1
1.27,0.013,13,32.32,556.0930233,1
1.27,0.005,22,18.45,58.13134328,1
1.27,0.006,23,19.8,60.10493827,1
1.27,0.006,24,26.86,62.71819646,1
1.27,0.006,22,26.35,82.91849148,1
1.27,0.005,21,21.08,24.14885496,1
1.28,0.006,30,17.04,275.8752688,2
1.24,0.004,46,9.3,57.67164179,1
1.24,0.006,45,8.28,48.89552239,1
1.26,0.003,48,4.48,113.1925926,1
1.26,0.003,49,6.79,105.7835821,1
1.24,0.007,34,3.1,273.9692308,1
1.24,0.006,34,0.9,65.49618321,1
1.23,0.001,41,14.74,18.06012885,1
1.23,0,32,18.59,66.88,1
1.23,0,44,5.04,9.44921875,1
1.23,0.002,37,11.52,102.6377953,1
1.23,0,41,9.54,28.91929134,1
1.23,0.004,54,4.2,26.07751938,1
1.23,0.003,50,3.8,38.36220472,1
1.2,0.009,50,12.96,105.5230596,1
1.2,0.01,56,7.83,49.5,1
1.18,0.01,41,14.5,166.344086,1
1.33,0.003,46,16.94,95,1
1.33,0,45,16.11,67.61764706,1
1.28,0.003,44,8.36,47.41605839,1
1.43,0,67,3,31.16778523,2
1.43,0,74,1.47,6.651214128,2
1.44,0,61,4.75,22.56944444,2
1.44,0,58,5.28,22.56944444,1
1.44,0,75,1.2,4.736842105,2
1.44,0,65,3.44,47.06756757,2
1.42,0,61,8.54,12.9837963,2
1.42,0,51,23.64,23.3006993,1
1.42,0,57,11.6,15.55555556,1
1.46,0,66,6.4,28.5,2
1.46,0,74,6.7,41.625,2

1.48,0,75,0.58,6.812080537,3
1.48,0,70,1.14,12.97333333,3
1.48,0,72,1.29,12.97333333,2
1.44,0,75,1.12,14.90410959,2
1.44,0,77,0.76,5.671232877,2
1.44,0,71,2.04,17.30821918,2
1.45,0,75,2.34,16.15068493,2
1.45,0,77,1.16,18.42857143,2
1.45,0,74,2.55,48.45205479,2
1.45,0,77,1.16,18.42857143,2
1.32,0,61,2.28,16.67647059,2
1.41,0,71,4.32,56.0625,2
1.41,0,77,0.96,8.565517241,3
1.46,0,69,5.5,21.55263158,2
1.46,0,76,1.32,8.046357616,2
1.46,0,65,4.75,14.25,2
1.46,0,72,2.07,7.094594595,2
1.46,0,77,1.71,5.918367347,2
1.46,0,68,2.16,36.75675676,2
1.5,0,74,1.92,5.42218543,2
1.5,0,79,0.56,4.867549669,3
1.44,0,74,1.92,5.42218543,2
1.5,0,79,0.56,4.867549669,3

1.5,0,73,2.19,7.346578366,2
1.35,0,56,16.4,36.74383803,2
1.35,0,62,3.45,31.88425926,3
1.35,0,62,3.45,31.88425926,3
1.35,0,54,16.7,77.57260274,2
1.44,0,76,4.24,39.39041096,2
1.44,0,75,1.26,7.401360544,2
1.46,0,84,0.58,9.523809524,3
1.46,0,77,0.92,11.4965035,2
1.46,0,78,0.86,11.33793103,2
1.46,0,79,0.86,11.33793103,2

1.44,0,76,4.24,39.39041096,2
1.44,0,79,2.37,38.90410959,3
1.46,0,81,0.78,24.39726027,3
1.37,0,64,5.45,80.83916084,2
1.37,0,64,3.44,39.75172414,2
1.37,0,65,3.24,36.43835616,2
1.33,0,73,0.66,7.762962963,3
1.33,0,75,0.58,6.792592593,3
1.33,0,73,1.08,7.762962963,3
1.33,0,73,1.05,7.762962963,3
1.39,0,75,3.68,18.4893617,2
1.39,0,77,1.06,15.21678322,2
1.39,0,78,0.84,10.37588652,2
1.39,0,77,0.86,10.37588652,2
1.39,0,76,1.83,15.43262411,2
1.41,0.001,78,0.94,12.09090909,2
1.41,0.002,78,0.96,9.51048951,2
1.41,0,75,1.38,8.559440559,2
1.4,0,77,0.74,7.661971831,3
1.4,0,78,0.68,7.716312057,3
1.4,0,69,2.49,19.98591549,2
1.4,0,67,2.84,108.1560284,2
1.4,0,61,11.16,78.07092199,2
1.3,0,59,4.9,44.3221831,2
1.3,0,46,19.44,47.5,1
1.33,0.003,60,5.7,29.56521739,2
1.33,0.002,54,8.16,58.70503597,1
1.33,0.003,64,2.56,7.062043796,2
1.33,0.004,69,1.68,11.29927007,2
1.35,0.002,67,1.65,5.927007299,2
1.35,0.001,69,1.17,8.671532847,3
1.35,0.002,70,1.05,8.671532847,3
1.35,0.003,61,4.75,22.70364964,2
1.35,0.002,63,1.6,7.766423358,2
1.35,0.002,65,2,7.055961071,2
1.33,0.003,61,3.9,15.05882353,2
1.38,0.001,64,2.8,100.0965517,2
1.38,0,68,2.16,39.11111111,2
1.38,0.002,55,6.51,51.86013986,1
1.38,0.002,60,3.4,99.44827586,2
1.38,0,66,2.72,40.21875,2
1.38,0.002,60,4.35,56.03009259,2
1.41,0.002,60,2.24,89.57142857,2
1.41,0.002,53,5.2,38.52197802,2
1.41,0,46,3.19,55.92857143,1
1.41,0.001,59,3.05,89.57142857,2
1.41,0.001,56,3.7,81.19736842,2
1.41,0.002,50,3.87,50.04351939,1
1.29,0.003,41,3.19,942.3855634,1
1.31,0.003,37,5.18,841.9256757,1
1.31,0,44,3.68,2263.392857,1
1.33,0,48,4.41,76.64233577,1
1.29,0.003,36,26.85,798.6963513,1
1.29,0.005,36,0,2068.455621,1
1.29,0.003,37,10.32,1069.5,1
1.29,0,39,12.87,309.1240876,1
1.29,0.002,37,15.73,1359.722222,1
1.29,0.003,36,13.16,570.7692308,1
1.43,0.001,59,4.9,18.12244898,1
1.43,0,70,1.59,12.19863014,2
1.43,0.002,46,10.62,52.93959732,1
1.43,0.001,56,7.32,42.92789116,1
1.43,0.001,63,4.95,18.24657534,2
1.43,0.002,51,10.48,35.53153153,1
1.48,0,65,2.68,37.71974522,2

1.5,0,47,16.94,84.04458599,2

1.5,0,47,7.81,95.1133758,1

1.5,0,73,4.32,182.6129032,2
1.5,0,70,6.16,269.6419355,2
1.5,0,78,0.96,10.36129032,2
1.5,0,76,1.62,10.36129032,2
1.5,0,76,1.04,55.5483871,2

1.47,0.001,66,2.96,80,2

1.47,0,63,3.24,79.46308725,1
1.35,0.001,59,5.58,78.10874704,1
1.35,0,55,4.44,48.77659574,1
1.35,0,63,2.7,61.38461538,2
1.37,0.001,68,2.32,40.625,2
1.37,0,74,1.2,24.71830986,3
1.37,0.002,63,3.9,48.15924658,2
1.37,0,70,1.88,82.46153846,2
1.43,0.003,65,7.98,18.73972603,2
1.43,0.003,64,6.96,18.09037901,2
1.43,0.002,65,4.6,20.46206897,2
1.43,0.002,65,7.74,38.43493151,2
1.56,0.005,53,6.48,35.4689441,1
1.56,0.005,53,15.76,76.86956522,1
1.2,0.003,40,9.23,89,1
1.21,0.001,39,8.58,97.36363636,1
1.21,0.001,39,8.97,75.35820896,1
1.21,0.002,39,9,55.6952381,1
1.25,0,41,13.68,78.8649635,1
1.25,0,37,19.52,277.0746269,1
1.25,0,44,6.93,43.01199041,1
1.51,0.006,63,10.66,270.4326923,2
1.51,0.008,60,3.06,190,2
1.51,0.006,64,3.3,170.4545455,2
1.51,0.008,61,13.65,260.0806452,2
1.51,0.006,57,73.84,229.906051,2
1.51,0.006,53,62.06,338.7237537,2
1.42,0.001,55,20.15,61.02040816,1
1.42,0.001,55,13,56.95238095,1
1.44,0,60,5.1,154.295302,2

1.44,0,58,3.9,169.9470199,2
1.42,0,68,2.01,14.26573427,2
1.42,0,69,1.95,13.41258741,2
1.42,0,68,2.01,14.26573427,2
1.35,0,59,3.3,27.9020979,1
1.35,0,58,4.8,28.29787234,1
1.35,0,59,4.25,16.14285714,1
1.35,0,58,2.34,27.70833333,1
1.27,0.004,43,35.15,91.65217391,1
1.33,0.002,55,4.6,40.1459854,1
1.33,0.003,58,4.45,20.0729927,1
1.33,0.001,53,5.94,20.0729927,1
1.31,0.005,34,41.8,467.0510949,1
1.41,0.001,42,27.9,100.1644737,1
1.41,0,45,17.71,368.4210526,1
1.41,0.002,46,8.16,108.0684932,1
1.2,0.002,62,3.16,60.81967213,1
1.2,0,69,2.1,8.950413223,2
1.2,0.003,56,4.4,117.7777778,1
1.2,0.001,51,14.43,77.52325581,1
1.2,0.002,53,8.08,162.1272321,1
1.44,0.001,78,6.6,50.74285714,2
1.44,0.001,83,1.74,17.29655172,3
1.44,0.002,84,1.71,17.29655172,3
1.44,0.002,84,1.65,17.29655172,3
1.51,0,81,2.64,28.88888889,3
1.51,0,81,2.56,25.49019608,3

1.5,0.001,81,2.84,37.8807947,3
1.5,0,80,3.4,126.4313725,3

1.45,0.001,62,5.05,205.7432432,2
1.45,0,66,3.08,19.93288591,2
1.45,0.001,60,3.75,172.5,2
1.45,0,57,3.65,239.8791946,1
1.4,0.001,60,8.96,29.6713615,2
1.4,0,64,3.8,17.98309859,2
1.39,0,55,7.12,38.87755102,2
1.39,0,54,8.46,74.94369369,2
1.43,0.001,61,8.64,17.03013699,2
1.43,0,64,2.6,8.031034483,2
1.27,0,35,6.12,256.9452736,1
1.27,0,35,3.72,248,1
1.27,0,33,8.97,399.1578947,1
1.27,0,34,4.32,245.9333333,1
1.2,0.001,35,27.36,309.4363057,1
1.2,0,33,28.08,397.1752137,1
1.2,0.001,36,1.89,205.9104187,1
1.2,0.002,36,19.62,294.3708333,1
1.27,0.002,35,12.54,148.3162991,1
1.27,0.002,38,10.08,374.7966903,1
1.3,0.001,32,22.8,108.3870968,1
1.3,0.002,34,6.3,138.3870968,1
1.3,0,31,36.4,80.12820513,1
1.3,0.001,34,11.76,114.9677419,1
1.31,0.001,29,17.76,125.2739314,1
1.31,0.001,31,22.72,123.0026846,1
1.3,0.004,36,38.95,186.1948052,1
1.3,0.006,34,36.12,325.0860927,1
1.28,0.004,40,13.97,198.1953782,1
1.28,0.004,39,15.36,174.7055556,1

1.57,0.002,50,3.36,179.7289157,1
1.57,0.001,48,3.71,251.6204819,1
1.57,0.003,49,2.31,176.2650602,1
1.54,0.003,48,5.18,148.5,1
1.54,0.002,45,2.8,222.4666667,1
1.54,0.003,56,5.52,80.37037037,1
1.54,0,56,3.24,49.11111111,2
1.3,0.005,43,5.1,158.4,1
1.3,0.004,46,5.52,239.7314149,1
1.3,0.005,42,3.7,304,1
1.3,0.004,43,4.1,320.9589041,1
1.26,0.004,41,13.91,84.03007519,1
1.26,0.005,42,11.7,87.02985075,1
1.26,0.003,40,13.75,57.77099237,1
1.26,0,40,11.11,49.84615385,1
1.58,0.002,41,11.88,157.7111111,1
1.58,0.003,41,0,225.7377049,1
1.58,0.003,40,0,339.7849462,1
1.58,0,42,2.52,200.6264045,1
1.42,0.002,36,4.75,198.6315789,1
1.42,0.003,38,0,128.6235795,1
1.42,0.002,38,0,290.1818182,1
1.42,0,32,0,189.1555556,1
1.42,0,32,4.96,265.965,1
1.42,0.004,38,0,149.8305085,1
1.37,0,59,10.72,35.12068966,1
1.37,0,60,7.86,63.11111111,2
1.37,0,63,3.75,31.77622378,2
1.38,0,52,14.8,26.39160839,1
1.38,0,55,4.69,26.57746479,1
1.43,0,65,8.94,45.8630137,2
1.43,0,66,6.75,34.39726027,2
1.43,0,65,5.2,21.43448276,2
1.45,0.001,51,6.96,65.04458599,1

1.4,0.001,52,12.96,29.91253644,1
1.4,0.002,53,10.36,41.42465753,1
1.45,0,66,2.96,12.65306122,2
1.45,0.002,70,1.59,13.23809524,2
1.45,0,63,4.16,12.96938776,2
1.38,0.005,59,2.45,29.18918919,2
1.41,0.003,58,4.05,41.24137931,1
1.41,0.003,61,2.76,17.42758621,2
1.41,0.004,60,3.9,43.83561644,2
1.36,0.006,35,168.72,642.1827815,1
1.36,0.004,35,25.48,323.9057239,1
1.4,0.008,35,146.5,187.2972973,1
1.4,0.008,35,92.4,138.1507382,1
1.4,0.008,38,187.38,271.3576159,1
1.4,0.008,38,75.95,227.7241379,1
1.3,0.003,40,79.17,248.3478261,1
1.3,0.005,36,21.75,305.347548,1
1.3,0.004,35,32.48,378.4122137,1
1.3,0,37,5.4,227.8571429,1
1.28,0.01,37,44.8,244.8234281,1
1.28,0.01,46,24.36,100.1953125,1
1.28,0.012,30,46.19,385.546875,1
1.28,0.011,28,68,505.8461538,1
1.28,0.005,45,29.12,134.3209877,1
1.28,0.004,43,9.75,112.0300752,1
1.28,0.007,50,11.21,105.75,1
1.28,0.008,42,10.8,116.697995,1
1.28,0.008,36,51.68,630.858209,1
1.28,0.007,39,51.03,209.2307692,1
1.28,0.006,36,77.9,666,1
1.28,0.007,36,70.3,650.5820106,1
1.28,0.007,37,107.83,787.8,1
1.28,0.003,34,78.4,924.5153374,1
1.28,0.008,38,38.48,263.144186,1
1.28,0.007,39,44.46,162.4935065,1
1.36,0,69,13.76,77.20851064,1
1.2,0.004,41,10.12,303.2874016,1
1.2,0.003,45,8.96,35.03571429,1
1.2,0.003,37,10.56,65.11627907,1
1.2,0.004,41,10.89,237.2916667,1
1.2,0.003,40,8.7,448,1
1.2,0.004,42,9.4,262.8751406,1
1.2,0.003,42,14.19,80.30769231,1
1.2,0.003,45,8.91,22.86206897,1
1.2,0.006,40,15.4,101.6198347,1
1.2,0.004,36,20.25,398.1226667,1
1.2,0.004,38,20.54,42.20138889,1
1.2,0.003,38,20.8,62.77892562,1
1.2,0.006,35,16.32,426.0822511,1
1.2,0.009,35,22.35,764.9611511,1
1.2,0.008,35,3.36,589.1180124,1
1.2,0.004,37,16.95,760.5,1
1.48,0.003,77,4.8,43.92156863,1
1.48,0.004,79,4,36.60130719,2

1.48,0.005,77,5.1,59.33774834,3
1.48,0.005,78,5,59.33774834,2
1.48,0.004,75,6.42,29.66887417,2
1.44,0.002,73,5.58,74.59354839,1
1.44,0.002,76,7.08,131.6903226,2
1.44,0.001,71,2.16,116.0344086,1
1.44,0.001,73,3.64,102.3694268,1
1.44,0,67,8.73,59.19463087,1
1.47,0.003,71,6.65,329.0314465,1
1.47,0.003,67,8.72,660.3821656,1
1.48,0.004,73,6.93,358.9433962,1
1.44,0.003,34,31.68,146.7019868,1
1.44,0.002,36,16.1,293.93,1
1.44,0.002,35,44.46,94.81677704,1
1.44,0.002,33,36.55,106.5470199,1
1.43,0.003,39,16,54.4,1
1.46,0.001,41,51.87,113.8248848,1
1.46,0.001,40,48.64,167.2580645,1
1.46,0.002,40,52.2,111.1863057,1
1.46,0.002,41,1.4,234.7276423,1
1.42,0.002,30,107.01,375,1
1.42,0,40,11.88,94.03061224,1
1.42,0.003,45,9.57,175.8157895,1
1.42,0.004,45,5.4,129.7594937,1
1.42,0.002,43,7.52,25.33561644,1
1.33,0.004,36,85.56,289.4894366,1
1.33,0.003,38,48.5,331.787234,1
1.3,0.003,45,81.2,540.8759124,1
1.3,0.004,46,70,511.7697842,1
1.32,0,37,40.8,142.1818182,1
1.2,0.002,46,28.5,106.1587302,1

1.34,0.003,47,0,276.0784314,1
1.34,0.004,48,0,224.516129,1
1.44,0,51,23.87,41.50689906,2
1.44,0,47,10.88,35.05263158,2
1.44,0,62,3.05,10.50322581,2
1.43,0,50,13.42,39.11073826,1
1.43,0,57,6.24,48.34666667,1
1.43,0,56,5.34,27.79555556,1
1.43,0,44,14.82,54.59459459,1
1.38,0,45,12.8,56.31034483,1
1.38,0,42,13.6,79.38194444,1
1.38,0,38,19.8,63,1
1.38,0,38,23.64,90,1
1.36,0,40,44.62,176.0027586,1
1.36,0,46,8.97,38.77040816,1
1.23,0.001,73,1.56,16.128,3
1.23,0,76,0.66,10.46774194,3
1.23,0.004,60,6.24,26,2
1.23,0.001,74,1.77,23.11111111,2
1.23,0.001,72,1.95,23.48387097,2
1.23,0,70,1.77,48.87096774,2
1.23,0,73,0.87,4.32,3
1.23,0,74,0.84,4.32,3

1.23,0,70,1.32,16.72,3
1.23,0,71,1.23,16.85483871,3
1.3,0.005,22,14.08,31.39658849,1
1.3,0.005,23,15.36,35.20987654,1
1.3,0.005,22,10.08,28.65671642,1
1.3,0.004,24,9.12,62.22222222,1
1.3,0.005,21,10.22,88.57894737,1
1.3,0.005,23,7.41,28.65671642,1
1.28,0.006,23,0,789.9428571,2
1.38,0.005,57,12.46,484.6376812,2
1.38,0.005,57,13.26,399.4160584,2
1.38,0.003,60,7.5,360.5742857,2
1.38,0.005,61,10,271.4,2
1.38,0.003,62,4.05,46.01408451,2
1.38,0.005,65,2.8,12.11267606,2
1.38,0.006,58,7.59,337.0212766,2
1.41,0.001,54,8.55,210.8843537,1
1.41,0.001,56,7.65,478.7755102,1
1.41,0,47,7.76,100.8979592,1
1.41,0.002,62,3.9,85.5704698,2
1.4,0.002,57,4.42,297.4850299,1
1.4,0.001,57,12.87,326.6272189,1
1.4,0,55,0,564.6706587,1
1.4,0,59,0,1364.733728,1
1.4,0,56,0,495.8083832,1
1.4,0,58,5.04,323.5739645,1
1.42,0.004,50,28.56,46.16326531,1
1.42,0.003,54,6.6,42.44897959,1
1.4,0.004,34,118.32,129.9189189,1
1.32,0.004,35,0,1171.153846,3
1.32,0.002,37,0,1354.488312,3
1.33,0.007,27,22.2,491.0144928,1
1.33,0.007,26,20.64,311.0719424,1
1.33,0.005,29,20.28,113,1
1.33,0.008,26,22.72,288.057554,1
1.33,0.007,28,15.52,262.8510638,1
1.33,0.004,21,36.11,584.1407407,2
1.33,0.004,18,58.05,725.7871901,3
1.33,0.003,25,22.61,313.3913043,1
1.33,0.005,24,28.14,560.0845411,1
1.33,0.005,29,16.15,209.3834586,1
1.33,0.005,35,7.02,119.4285714,1
1.33,0.006,24,10.83,323.5015385,1
1.33,0.005,32,13.44,215.3333333,1
1.31,0.003,29,16.2,347.8660714,3
1.31,0.003,34,8.36,1009.694118,3
1.3,0.004,25,15.77,138.0400763,2
1.3,0.003,29,17.16,601.9672131,3
1.31,0.002,61,23.37,288.5107564,3
1.31,0,80,2.28,563.5,3
1.3,0,80,2.22,514.0983607,3
1.3,0,80,0,620.6,3
1.33,0.007,60,6.93,25.79104478,2
1.33,0.007,64,1.48,11.28358209,3
1.3,0.008,54,5.22,25.97014925,1
1.3,0.007,55,3.8,18.50746269,1
